studentid,lastname,firstname,grade,GPA,scheduleid,honors,DOB
1,Rogers,Joy,6,4.0,0,True,2012-06-22
2,Kramer,Roger,8,3.4,0,False,2009-11-16
3,Fowler,Karina,8,3.65,0,True,2010-04-10
4,George,Denice,6,2.99,0,False,2012-02-17
5,George,Douglas,8,3.44,0,True,2010-08-17
6,Fowler,Alejandro,7,4.0,0,True,2011-05-22
7,Cramer,Alejandro,8,3.47,0,True,2010-07-09
8,Steembrenner,Josie,8,2.79,0,False,2009-09-22
9,Kilmead,Alejandro,8,3.08,0,False,2010-01-06
10, Ellis,Brian,8,2.58,0,False,2010-06-28
11,Fowler,Douglas,8,2.32,0,False,2010-01-29
12,Rogers,Bill,6,2.12,0,False,2012-07-05
13,Fowler,Roger,6,3.46,0,True,2013-08-01
14,Cramer,Roger,6,1.98,0,False,2012-06-08
15,Fowler,Gary,8,3.5,0,True,2010-09-18
16,Despret,Denice,7,3.26,0,False,2011-08-04
17,Christensen,Douglas,8,3.72,0,True,2009-10-09
18,Despret,Daniel,8,3.05,0,False,2010-11-24
19,Fowler,Denice,7,1.86,0,False,2011-01-26
20,George,Diane,8,3.71,0,True,2010-08-13
21,Orvis,Denice,6,3.33,0,False,2012-12-23
22,Brenan,Greg,7,1.26,0,False,2011-01-06
23,Kramer,Anthony,6,3.87,0,True,2012-09-05
24,Fowler,Brian,6,2.76,0,False,2013-04-21
25,Maxwell,Joy,7,3.64,0,True,2011-08-26
26,Maxwell,Josie,6,3.84,0,True,2012-08-07
27,Gavelston,Diane,7,2.9,0,False,2011-07-14
28,Kramer,Bill,8,3.0,0,False,2009-09-11
29,Wexler,Gary,7,3.99,0,True,2011-09-19
30,Kramer,Carolyn,7,4.0,0,True,2011-03-03
31,Kilmead,Daniel,8,3.15,0,False,2010-08-03
32,Fowler,Kareem,6,2.68,0,False,2012-11-15
33,Cramer,Kareem,7,3.52,0,True,2011-11-29
34,George,Josie,8,3.62,0,True,2010-03-10
35,De la Cruz,Karina,8,2.9,0,False,2009-10-06
36,Fowler,Anthony,6,3.38,0,False,2012-01-24
37,Kilmead,Greg,6,3.18,0,False,2013-03-06
38,Gavelston,Mary,7,2.21,0,False,2011-07-12
39,Kilmead,Denice,6,3.33,0,False,2012-11-08
40,Despret,Diane,6,3.3,0,False,2012-05-19
41,Fowler,Roger,6,3.11,0,False,2012-08-02
42,Fowler,Josie,8,3.39,0,False,2010-06-19
43,Maxwell,Douglas,7,2.19,0,False,2011-07-10
44,Steembrenner,Kareem,7,4.0,0,True,2011-01-15
45,Cramer,Corey,6,2.74,0,False,2012-05-18
46,Orvis,Corey,8,3.28,0,False,2010-12-28
47,Rogers,Carolyn,6,3.21,0,False,2012-12-15
48,Kilmead,Kimberly,8,3.65,0,True,2010-12-10
49,Christensen,Brian,7,3.4,0,False,2011-11-03
50,Rogers,Douglas,7,3.33,0,False,2011-02-14
51,Brenan,Brian,6,3.59,0,True,2013-08-06
52,Johnson,Gary,8,2.96,0,False,2010-03-02
53,Simpleton,Alejandro,6,2.51,0,False,2012-05-25
54,Despret,Greg,8,2.95,0,False,2009-11-04
55, Ellis,Greg,8,3.42,0,True,2010-12-30
56,Fowler,Kareem,7,3.73,0,True,2011-06-04
57,Johnson,Carolyn,7,4.0,0,True,2011-02-02
58,Politz,Greg,7,2.85,0,False,2011-05-17
59,Despret,Kimberly,6,2.86,0,False,2013-08-20
60,Fowler,Carolyn,7,3.72,0,True,2011-12-18
61,Christensen,Roger,6,3.13,0,False,2012-02-17
62,Gavelston,Josie,7,2.31,0,False,2011-02-11
63,Brenan,Kimberly,6,3.02,0,False,2012-09-04
64,Orvis,Diane,8,3.87,0,True,2009-10-12
65,Steembrenner,Daryl,8,2.6,0,False,2010-08-01
66,Politz,Denice,7,3.82,0,True,2011-08-01
67,Christensen,Corey,8,2.68,0,False,2010-10-24
68,Fairchild,Mary,8,3.3,0,False,2010-12-16
69,Politz,Corey,8,3.38,0,False,2010-06-07
70,Johnson,Josie,7,3.26,0,False,2011-10-26
71,George,Carolyn,7,2.92,0,False,2011-05-02
72,Kramer,Greg,8,2.49,0,False,2010-09-11
73,Orvis,Josie,7,3.05,0,False,2011-08-12
74,Fowler,Brian,7,3.1,0,False,2011-01-13
75,Gavelston,Brian,8,3.33,0,False,2009-12-30
76,Johnson,Brian,8,2.22,0,False,2010-03-15
77,Brenan,Kareem,6,3.91,0,True,2013-06-02
78,George,Carolyn,6,3.53,0,True,2013-05-30
79,Despret,Daryl,6,4.0,0,True,2013-06-21
80,Wexler,Daniel,8,4.0,0,True,2010-11-18
81,Fowler,Roger,6,3.51,0,True,2012-10-02
82,Despret,Mary,6,3.7,0,True,2013-08-28
83,Wexler,Douglas,6,3.45,0,True,2012-09-10
84,Simpleton,Bill,6,3.53,0,True,2012-03-11
85,Simpleton,Alejandro,8,2.67,0,False,2010-02-11
86,Despret,Carolyn,8,3.84,0,True,2010-11-03
87,Fowler,Gary,6,3.13,0,False,2012-08-22
88,Christensen,Joy,7,3.82,0,True,2011-07-05
89,Wexler,Bill,8,3.37,0,False,2010-05-08
90,Brenan,Brian,8,3.79,0,True,2010-10-18
91,Christensen,Josie,7,4.0,0,True,2011-08-22
92,Brenan,Mary,8,4.0,0,True,2010-08-09
93,Steembrenner,Corey,7,3.34,0,False,2011-09-06
94,Maxwell,Mary,6,3.03,0,False,2012-07-19
95,Fairchild,Brian,6,2.86,0,False,2013-05-04
96,Politz,Roger,8,2.67,0,False,2010-02-06
97, Ellis,Diane,6,1.79,0,False,2013-08-12
98,George,Josie,8,1.66,0,False,2010-05-16
99,Gavelston,Alejandro,6,3.07,0,False,2012-10-17
100,Johnson,Josie,8,3.37,0,False,2010-06-07
101,George,Karina,8,3.92,0,True,2010-03-10
102,Orvis,Greg,7,3.36,0,False,2011-12-12
103,George,Denice,8,3.47,0,True,2010-01-10
104,Kilmead,Josie,6,2.93,0,False,2012-02-08
105,Despret,Joy,6,4.0,0,True,2013-02-09
106,Simpleton,Kimberly,6,3.69,0,True,2013-01-16
107,Kramer,Alejandro,7,3.33,0,False,2011-11-23
108,Maxwell,Corey,6,3.39,0,False,2013-05-07
109,Kramer,Daniel,7,3.48,0,True,2011-09-05
110, Ellis,Daniel,7,3.84,0,True,2011-07-04
111,Simpleton,Carolyn,8,2.62,0,False,2009-11-18
112,Steembrenner,Carolyn,6,2.5,0,False,2012-01-30
113,Simpleton,Karina,6,4.0,0,True,2012-01-24
114,Wexler,Brian,6,3.63,0,True,2012-02-04
115,Gavelston,Kareem,7,3.06,0,False,2011-02-04
116,George,Carolyn,6,3.17,0,False,2013-04-10
117,Brenan,Josie,8,2.0,0,False,2010-11-29
118,Despret,Corey,6,3.03,0,False,2013-02-14
119,Maxwell,Kimberly,7,2.5,0,False,2011-08-01
120,Christensen,Douglas,6,2.8,0,False,2012-07-27
121,Simpleton,Diane,6,2.88,0,False,2012-09-08
122,Fairchild,Greg,8,2.95,0,False,2010-12-22
123,Johnson,Bill,6,3.43,0,True,2012-07-21
124,Kilmead,Douglas,6,3.92,0,True,2012-04-23
125,Rogers,Carolyn,6,3.22,0,False,2013-06-14
126, Ellis,Alejandro,6,3.21,0,False,2012-07-15
127,Fairchild,Diane,6,2.44,0,False,2012-03-02
128,Simpleton,Douglas,8,2.84,0,False,2009-12-14
129,Fairchild,Kimberly,7,3.29,0,False,2011-07-05
130,George,Karina,6,3.16,0,False,2013-04-21
131,George,Roger,6,3.64,0,True,2012-10-20
132,Cramer,Denice,6,3.39,0,False,2013-02-13
133,Fowler,Douglas,6,3.05,0,False,2012-11-18
134,Rogers,Corey,6,3.36,0,False,2013-07-16
135,Gavelston,Kimberly,8,3.57,0,True,2010-09-05
136,Rogers,Daryl,7,2.6,0,False,2011-09-05
137,Rogers,Kimberly,7,2.71,0,False,2011-02-09
138,Fowler,Josie,8,3.24,0,False,2010-05-12
139,Kilmead,Kimberly,8,2.34,0,False,2010-01-11
140,Maxwell,Mary,6,3.18,0,False,2012-03-15
141,Fairchild,Brian,6,2.89,0,False,2012-07-29
142,Christensen,Diane,6,3.62,0,True,2013-07-03
143,George,Daryl,8,4.0,0,True,2010-08-22
144, Ellis,Corey,8,2.98,0,False,2010-06-19
145,Fowler,Daniel,6,3.42,0,True,2013-05-19
146,Despret,Gary,8,1.71,0,False,2010-06-30
147,De la Cruz,Karina,8,2.74,0,False,2009-11-01
148,Gavelston,Daniel,7,2.85,0,False,2011-01-07
149,Gavelston,Daniel,6,4.0,0,True,2012-01-25
150,Brenan,Kareem,6,3.62,0,True,2012-07-02
151,Cramer,Diane,7,4.0,0,True,2011-11-23
152,Orvis,Kareem,7,4.0,0,True,2011-10-08
153,Kramer,Joy,6,2.03,0,False,2012-10-27
154, Ellis,Carolyn,6,2.94,0,False,2012-01-24
155,Steembrenner,Joy,8,3.92,0,True,2010-08-23
156,Wexler,Kimberly,8,3.81,0,True,2010-01-06
157,Maxwell,Alejandro,7,2.27,0,False,2011-03-10
158,Christensen,Anthony,6,4.0,0,True,2013-03-24
159,Orvis,Karina,6,2.38,0,False,2012-10-21
160,Politz,Joy,7,3.43,0,True,2011-07-04
161,De la Cruz,Carolyn,8,3.96,0,True,2010-04-20
162,Fairchild,Mary,7,2.82,0,False,2011-12-23
163,Fowler,Daniel,7,2.83,0,False,2011-10-11
164,Christensen,Carolyn,6,3.53,0,True,2013-01-07
165,Despret,Douglas,8,3.73,0,True,2009-10-28
166,Maxwell,Carolyn,7,2.17,0,False,2011-10-15
167,Brenan,Gary,6,3.9,0,True,2013-05-05
168,Johnson,Kareem,6,4.0,0,True,2012-12-13
