studentid,lastname,firstname,grade,GPA,honors,DOB
1,Johnson,Mary,6,3.53,True,2012-08-01
2,Wexler,Kareem,8,3.54,True,2010-05-25
3,Maxwell,Denice,8,2.4,False,2010-09-05
4,Rogers,Mary,6,3.09,False,2013-08-16
5,Johnson,Brian,8,3.44,True,2010-01-05
6,Fairchild,Denice,7,2.94,False,2011-02-25
7,Brenan,Diane,7,3.16,False,2011-10-04
8,Johnson,Anthony,7,4.0,True,2011-10-24
9,Johnson,Roger,8,1.81,False,2009-11-03
10,Cramer,Karina,6,3.1,False,2013-03-10
11,Steembrenner,Gary,6,2.82,False,2013-02-05
12,Orvis,Joy,6,2.92,False,2012-11-05
13,Christensen,Bill,8,3.67,True,2010-07-28
14,Steembrenner,Bill,8,2.98,False,2009-12-23
15,Simpleton,Greg,6,3.89,True,2013-01-30
16, Ellis,Corey,8,3.2,False,2010-12-11
17,Steembrenner,Kareem,8,2.76,False,2010-12-26
18,Rogers,Alejandro,8,2.42,False,2010-11-27
19,Politz,Daryl,6,3.63,True,2012-06-27
20,Steembrenner,Mary,6,4.0,True,2012-09-04
21,Fairchild,Alejandro,8,2.84,False,2010-07-24
22,Steembrenner,Josie,6,2.24,False,2012-06-15
23,Steembrenner,Kareem,6,3.22,False,2012-02-16
24,Fairchild,Daryl,7,3.18,False,2011-01-23
25,Brenan,Diane,6,3.27,False,2013-04-04
26,Wexler,Karina,6,4.0,True,2012-01-10
27,Gavelston,Gary,6,3.81,True,2012-11-15
28,Gavelston,Joy,6,2.68,False,2012-04-02
29,Kramer,Douglas,8,3.35,False,2010-08-22
30,Rogers,Anthony,7,2.96,False,2011-04-05
31,Johnson,Bill,6,1.81,False,2013-01-05
32,Politz,Daryl,7,3.12,False,2011-01-24
33,Kilmead,Corey,7,2.97,False,2011-11-18
34,George,Douglas,8,3.42,True,2010-10-03
35,Fowler,Kimberly,6,3.17,False,2012-10-10
36,Fowler,Brian,6,1.91,False,2013-05-16
37,Rogers,Anthony,6,2.42,False,2013-02-21
38,Christensen,Anthony,6,4.0,True,2012-04-26
39,Cramer,Douglas,6,3.45,True,2012-03-04
40,Christensen,Karina,8,2.64,False,2009-09-03
41,Orvis,Joy,6,2.17,False,2012-06-06
42,Fowler,Mary,7,2.3,False,2011-09-30
43,De la Cruz,Denice,8,4.0,True,2010-04-09
44, Ellis,Karina,8,2.96,False,2009-11-21
45,Politz,Daryl,6,2.92,False,2013-05-05
46, Ellis,Mary,8,4.0,True,2010-03-18
47,Simpleton,Kimberly,6,3.04,False,2012-09-16
48,Orvis,Daryl,6,2.54,False,2012-02-06
49,Wexler,Denice,8,2.87,False,2010-04-11
50,Politz,Alejandro,8,3.89,True,2009-12-01
51,Steembrenner,Karina,6,3.07,False,2012-08-11
52,Rogers,Roger,7,2.54,False,2011-10-10
53,Kramer,Douglas,7,2.63,False,2011-06-26
54,Maxwell,Josie,6,3.16,False,2012-07-07
55, Ellis,Daryl,7,3.87,True,2011-07-24
56,Gavelston,Kareem,8,3.76,True,2010-10-01
57,Brenan,Kareem,8,3.08,False,2010-03-07
58,Simpleton,Brian,8,2.59,False,2010-01-17
59,Rogers,Denice,6,2.69,False,2012-04-01
60,Wexler,Greg,7,2.16,False,2011-02-13
61,Orvis,Anthony,7,4.0,True,2011-09-02
62,Gavelston,Daryl,8,2.86,False,2010-07-24
63,Politz,Kimberly,8,2.4,False,2010-07-02
64,Johnson,Joy,7,3.67,True,2011-07-08
65,Steembrenner,Karina,8,2.64,False,2010-01-08
66,Johnson,Douglas,7,2.68,False,2011-12-20
67,Christensen,Corey,8,2.96,False,2009-09-05
68,Brenan,Anthony,8,4.0,True,2010-02-22
69,Despret,Daniel,6,2.56,False,2013-01-28
70,George,Denice,8,3.35,False,2010-04-14
71,Christensen,Douglas,7,4.0,True,2011-06-24
72,George,Karina,8,4.0,True,2010-08-08
73,Maxwell,Brian,8,2.41,False,2009-11-23
74,Fowler,Bill,6,3.34,False,2013-05-29
75,Gavelston,Corey,6,2.91,False,2012-03-26
76,Despret,Joy,6,3.39,False,2012-06-06
77,Gavelston,Diane,8,3.64,True,2009-11-02
78,George,Gary,7,3.17,False,2011-06-05
79,Christensen,Kareem,6,3.18,False,2012-06-17
80,Kramer,Greg,6,2.65,False,2012-03-15
81,Simpleton,Gary,8,2.12,False,2010-10-17
82,Despret,Brian,7,3.12,False,2011-06-24
83,Gavelston,Brian,8,3.84,True,2010-06-30
84,Cramer,Corey,6,3.53,True,2012-09-19
85,Christensen,Daniel,8,2.74,False,2010-12-09
86,Politz,Kareem,7,3.58,True,2011-03-24
87,Wexler,Josie,8,3.06,False,2010-12-06
88,De la Cruz,Kimberly,8,3.07,False,2009-12-16
89,Rogers,Roger,7,3.34,False,2011-06-13
90,Simpleton,Corey,7,2.27,False,2011-03-02
91,Brenan,Gary,8,3.47,True,2009-09-07
92,Kramer,Kimberly,8,3.56,True,2010-04-09
93,Fowler,Josie,8,1.79,False,2010-02-10
94,Orvis,Bill,6,3.56,True,2012-09-20
95,De la Cruz,Kimberly,6,3.51,True,2012-10-28
96,George,Douglas,7,4.0,True,2011-09-28
97,Steembrenner,Josie,6,3.08,False,2012-11-26
98,George,Alejandro,7,3.87,True,2011-09-06
99,Simpleton,Gary,7,2.69,False,2011-04-18
100,Orvis,Joy,7,2.97,False,2011-02-19
101, Ellis,Greg,8,3.38,False,2010-07-05
102,Orvis,Alejandro,6,3.43,True,2013-01-21
103,Wexler,Roger,6,2.14,False,2012-11-23
104,Orvis,Daniel,8,2.91,False,2010-08-12
105,Fairchild,Gary,6,3.16,False,2013-03-22
106,Cramer,Carolyn,6,4.0,True,2012-06-07
107,Rogers,Corey,7,2.8,False,2011-04-03
108,Maxwell,Douglas,8,3.4,False,2010-10-18
109,Cramer,Daniel,8,2.73,False,2010-12-10
110,Fowler,Bill,8,3.42,True,2009-10-03
111,Steembrenner,Alejandro,6,4.0,True,2012-07-21
112,Kilmead,Douglas,8,2.26,False,2010-06-19
113,George,Kareem,6,3.27,False,2013-06-08
114,Cramer,Corey,6,4.0,True,2012-02-03
115,Gavelston,Corey,6,3.03,False,2012-03-18
116,Cramer,Joy,6,3.37,False,2013-04-05
117,De la Cruz,Kareem,6,3.91,True,2012-03-09
118,Cramer,Brian,8,2.99,False,2010-10-17
119,Christensen,Joy,8,2.41,False,2010-06-16
120,Despret,Greg,6,3.28,False,2012-03-09
121,Johnson,Greg,6,2.89,False,2012-02-10
122,Maxwell,Gary,8,3.87,True,2010-01-20
123,Despret,Diane,8,1.52,False,2010-02-14
124,Despret,Bill,6,3.17,False,2013-04-03
125,Brenan,Diane,6,3.45,True,2012-07-02
126,Fairchild,Anthony,6,3.62,True,2012-07-09
127,Gavelston,Mary,8,3.64,True,2009-12-02
128,Gavelston,Alejandro,8,3.62,True,2009-10-05
129,Steembrenner,Alejandro,6,2.85,False,2013-04-17
130,Fowler,Kimberly,7,3.32,False,2011-10-09
131,Kilmead,Alejandro,6,2.33,False,2012-01-07
132,Steembrenner,Josie,8,3.28,False,2010-08-17
133,Politz,Mary,6,2.75,False,2012-12-15
134, Ellis,Karina,7,3.27,False,2011-10-14
135,Maxwell,Gary,7,1.89,False,2011-04-28
136,Despret,Kareem,8,3.09,False,2010-07-24
137,Despret,Daniel,8,3.09,False,2009-11-12
138,Kilmead,Corey,8,3.61,True,2010-11-27
139, Ellis,Kareem,6,1.95,False,2012-07-26
140,Steembrenner,Corey,7,2.05,False,2011-09-21
141,Maxwell,Bill,8,3.61,True,2010-08-09
142,Kramer,Corey,8,3.5,True,2010-05-23
143,George,Alejandro,8,2.78,False,2010-10-23
